skill_level,skill_base,gradient,persona,overall_score,critical_thinking_score,communication_score,emotional_intelligence_score,badge,feedback,conversation_text
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
unknown,unknown,unknown,unknown,0,0,0,0,unknown,,"Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

Unknown: 

"
